num_objects,mean_area,mean_roundness,mean_perimeter,mask_path,source_path,class
1100,10.462727586996074,1.009248606690836,13.054492875858177,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-DKIWAGDR__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-DKIWAGDR.tif,ADI
562,74.14590970042926,1.0535982482489155,37.90261174328378,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-EDECQYWP__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-EDECQYWP.tif,ADI
243,246.6831349816343,1.1633609413198989,35.192418307599944,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-DIEESFCV__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-DIEESFCV.tif,ADI
116,544.0517404796055,1.2315352417202834,29.75932919882788,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-GLRYCGFS__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-GLRYCGFS.tif,ADI
1024,50.64062652109179,1.1084109346077948,19.142148284651796,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-EDPYSYGA__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-EDPYSYGA.tif,ADI
212,285.96227274038813,1.2493531220960687,26.05640210041519,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-PENISWSH__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-PENISWSH.tif,ADI
367,48.953679944535445,1.0363738968679033,27.62373885264444,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-ECRTSRGF__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-ECRTSRGF.tif,ADI
1124,12.801601808009078,0.9948014849587995,14.388021601431008,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-GMTQWVIE__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-GMTQWVIE.tif,ADI
311,187.62058441369186,1.2162114128916917,22.42113055012472,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-ILHPKAFC__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-ILHPKAFC.tif,ADI
464,119.22845185712536,1.1989718106045142,17.640505080187143,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-MGSWSPHM__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-MGSWSPHM.tif,ADI
364,155.505499176411,1.1563576494521375,36.365302491223375,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-QYQLECLN__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-QYQLECLN.tif,ADI
