num_objects,mean_area,mean_roundness,mean_perimeter_x,mask_path,source_path,class,mean_eccentricity,mean_solidity,mean_extent,mean_perimeter_y,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation
1100,10.462727586996074,1.009248606690836,13.054492875858177,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-DKIWAGDR__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-DKIWAGDR.tif,ADI,0.6264310415896654,0.1764859228362878,0.1756134033203125,9098.288993735816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13628982843137255,0.9318550857843138,0.7698891692772762,0.52931404180628
562,74.14590970042926,1.0535982482489155,37.90261174328378,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-EDECQYWP__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-EDECQYWP.tif,ADI,0.10047010805388627,0.6359210707036794,0.635833740234375,18982.467052994944,1.0,1.0,10.0,2.0,4.0,0.0,8.0,0.21055453431372548,0.8947227328431373,0.6089054478577857,0.5452511912689512
243,246.6831349816343,1.1633609413198989,35.192418307599944,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-DIEESFCV__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-DIEESFCV.tif,ADI,0.25753862848171066,0.9147007660145878,0.9146728515625,7472.288127184039,1.0,5.0,8.0,8.0,64.0,16.0,0.0,0.07907475490196078,0.9604626225490196,0.8783194168724355,0.4922417056545061
116,544.0517404796055,1.2315352417202834,29.75932919882788,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-GLRYCGFS__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-GLRYCGFS.tif,ADI,0.08525261992617102,0.962982177734375,0.962982177734375,3198.712949628457,2.0,4.0,8.0,8.0,64.0,16.0,0.0,0.023927696078431374,0.9880361519607843,0.9514469041468238,0.6648482920197842
1024,50.64062652109179,1.1084109346077948,19.142148284651796,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-EDPYSYGA__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-EDPYSYGA.tif,ADI,0.29624013123740595,0.7912839136936552,0.791259765625,14813.458325893236,2.0,4.0,8.0,8.0,64.0,16.0,0.0,0.1814031862745098,0.909298406862745,0.7221247456061394,0.45035963407067997
212,285.96227274038813,1.2493531220960687,26.05640210041519,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-PENISWSH__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-PENISWSH.tif,ADI,0.08376923275405788,0.9251335266290249,0.925048828125,4955.981202422492,2.0,4.0,8.0,8.0,64.0,16.0,0.0,0.048697916666666674,0.9756510416666668,0.9026374241169447,0.6494516324085472
367,48.953679944535445,1.0363738968679033,27.62373885264444,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-ECRTSRGF__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-ECRTSRGF.tif,ADI,0.4864249541171351,0.2804777144641324,0.274139404296875,8069.579361637688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09609375,0.951953125,0.7176190103387493,0.7586573886520295
1124,12.801601808009078,0.9948014849587995,14.388021601431008,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-GMTQWVIE__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-GMTQWVIE.tif,ADI,0.593094403822992,0.21991105133652245,0.2195587158203125,11012.063776460149,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14653799019607844,0.9267310049019608,0.729526750226559,0.5724341256643232
311,187.62058441369186,1.2162114128916917,22.42113055012472,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-ILHPKAFC__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-ILHPKAFC.tif,ADI,0.24007882109820455,0.890350341796875,0.890350341796875,6062.666627371729,2.0,4.0,8.0,8.0,64.0,16.0,0.0,0.06462928921568628,0.9676853553921568,0.8628418705294765,0.6686553623897032
464,119.22845185712536,1.1989718106045142,17.640505080187143,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-MGSWSPHM__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-MGSWSPHM.tif,ADI,0.29072647680001795,0.844146728515625,0.844146728515625,6535.23011923277,2.0,4.0,8.0,8.0,64.0,16.0,0.0,0.0743719362745098,0.9628140318627451,0.817185956462903,0.7176103434838101
364,155.505499176411,1.1563576494521375,36.365302491223375,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-QYQLECLN__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-QYQLECLN.tif,ADI,0.26739612627409753,0.86370849609375,0.86370849609375,11718.222648412306,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12777267156862746,0.9361136642156864,0.8080984368310156,0.4575102233665015
343,99.90379308827244,1.026883734002127,40.649250091368,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-EYKERARI__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-EYKERARI.tif,ADI,0.44897086813059695,0.5262939640608202,0.5228729248046875,12234.904755831214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428002450980392,0.9285998774509804,0.6153538381591137,0.7137877705261136
999,36.28428537415485,1.0224716297412422,35.57785266360508,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-PRAEVYRC__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-PRAEVYRC.tif,ADI,0.07109915056050928,0.5532018802270924,0.5531005859375,25828.002840708017,1.0,5.0,9.0,1.0,-3.0,1.0,0.0,0.24926470588235294,0.8753676470588235,0.5643808530670822,0.49576511036183885
1136,8.655810119149377,1.0173100070156322,11.092072741040235,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-CEQQNFQC__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-CEQQNFQC.tif,ADI,0.7427212070467384,0.1521170773966987,0.1500396728515625,7897.966050520841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12020526960784314,0.9398973651960785,0.7991721001984974,0.5296544418443104
249,95.65060528269451,1.05367346382945,49.4907755231636,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-FFSKKPLW__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-FFSKKPLW.tif,ADI,0.5028955877049285,0.3695652173913043,0.3634185791015625,10645.544186669253,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.12057291666666667,0.9397135416666667,0.6564567119702764,0.7395999229419444
484,103.81405270503811,1.0471201364304672,32.5274581056779,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-DISASQHD__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-DISASQHD.tif,ADI,0.2538076456722175,0.7667165135654774,0.766693115234375,13781.213413696314,2.0,4.0,13.0,5.0,29.0,8.0,-28.0,0.1392922794117647,0.9303538602941177,0.7231385153588733,0.6100229912556661
645,70.77209514903623,1.0534407527145528,15.200444257192983,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-RKTVTYVL__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-RKTVTYVL.tif,ADI,0.2807522760274773,0.6968841121780682,0.696533203125,7552.087983609039,2.0,4.0,13.0,5.0,29.0,8.0,28.0,0.09267769607843138,0.9536611519607843,0.7021034145126906,0.7808842395032907
222,275.20271096896266,1.1437988577263494,33.18069033407504,/workspace/outputs/preprocessing/masks_sitk/ADI/ADI-GKVQDMET__mask.tif,/workspace/data/NCT-CRC-HE-100K/ADI/ADI-GKVQDMET.tif,ADI,0.1352764642390304,0.9322357177734375,0.9322357177734375,6462.774275110054,2.0,4.0,8.0,8.0,64.0,16.0,0.0,0.06695772058823529,0.9665211397058824,0.900687545302502,0.4697995606571411
